Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output
1/1/2025 20:00,65.09820499,20.00882712,24.77861591,21.1907576,0.74,67.15180551,39.79938671,0.08,2.81,Reduce AHU,1
1/1/2025 21:00,78.5745235,21.01990468,29.19939127,21.32731761,0.78,68.92066769,46.25450074,0.06,2.67,Boost All,3
1/1/2025 22:00,46.01620524,20.55438616,28.66728469,21.28086835,0.57,47.052454,38.73027683,0.06,2.72,Boost All,3
1/1/2025 23:00,53.11419148,21.28760148,26.80252743,18,0.54,45.85066254,34.57148697,0.06,6,Maintain,2
1/2/2025 0:00,53.37422663,19.74040527,26.09571311,20.03244727,0.54,43.80661739,38.77712441,0.05,3.97,Maintain,2
1/2/2025 1:00,87.34452851,23.51288054,28.9414703,27.17909267,1.02,93.28533966,55.45501717,0.15,3.18,Reduce AHU,1
1/2/2025 2:00,39.08222065,18.40448662,19.61731658,25.17408033,0.63,44.80252243,54.85308846,0.09,1.17,Boost All,3
1/2/2025 3:00,47.34104407,19.10176762,25.82496382,23.56401991,0.58,43.6379373,46.77784435,0.07,0.44,Increase Chiller,0
1/2/2025 4:00,100,25.00320377,28.84288964,27.15039575,1.07,100,54.13925502,0.11,3.15,Boost All,3
1/2/2025 5:00,50.21613966,20.65313912,23.50172722,25.04524157,0.73,58.12521522,52.64632666,0.06,1.05,Reduce AHU,1
1/2/2025 6:00,59.2412906,20.48410138,22.95348353,27.61715619,0.73,59.13533691,52.18641355,0.08,3.62,Reduce AHU,1
1/2/2025 7:00,72.34254359,21.72616367,27.19917825,25.12621672,0.78,65.01163284,52.35414135,0.09,1.13,Reduce AHU,1
1/2/2025 8:00,55.0277468,21.98198934,25.79690498,23.8566389,0.67,53.84006707,47.7808628,0.1,0.14,Boost All,3
1/2/2025 9:00,98.02169728,24.76809194,27.09844245,20.88416341,1.01,100,41.22393676,0.14,3.12,Boost All,3
1/2/2025 10:00,51.22371352,20.31155181,25.0655405,26.55809129,0.71,56.85872843,51.12624658,0.09,2.56,Boost All,3
1/2/2025 11:00,31.80669729,19.59911613,26.58295114,25.88201733,0.52,32.47399647,52.48113401,0.08,1.88,Maintain,2
1/2/2025 12:00,76.26188293,21.33753516,28.08981051,23.81615983,0.89,79.07689176,51.00746996,0.09,0.18,Increase Chiller,0
1/2/2025 13:00,86.8120076,23.61571508,26.51534261,27.04159228,0.93,84.59842327,49.70309391,0.1,3.04,Reduce AHU,1
1/2/2025 14:00,36.6048176,19.03220258,20.76081492,27.4712913,0.63,41.93390367,58.42513552,0.08,3.47,Boost All,3
1/2/2025 15:00,37.15485067,18.67697898,27.76421693,27.21818094,0.53,32.78349998,52.83220474,0.07,3.22,Increase Chiller,0
1/2/2025 16:00,42.29524012,21.07044852,28.27464573,25.01048901,0.52,33.82134261,50.87482798,0.06,1.01,Boost All,3
1/2/2025 17:00,97.98613178,24.4812923,29.32579235,24.01114614,1,96.72952804,44.70892809,0.15,0.01,Increase Chiller,0
1/2/2025 18:00,41.4321265,19.78112638,25.27479626,28.45280763,0.7,49.71308844,60.81654348,0.09,4.45,Eco Mode,4
1/2/2025 19:00,92.63308348,23.84733401,31.17221006,25.82533041,1.07,100,54.90710427,0.14,1.83,Maintain,2
1/2/2025 20:00,95.83183641,24.05942416,26.96772785,24.20673118,0.94,87.31782373,48.23595028,0.08,0.21,Reduce AHU,1
1/2/2025 21:00,43.53736206,17.59658976,23.18846546,28.25899913,0.66,48.10846567,54.51030294,0.06,4.26,Eco Mode,4
1/2/2025 22:00,59.12201137,22.07891529,28.37008286,23.99886259,0.71,58.02981799,48.5229668,0.1,0,Boost All,3
1/2/2025 23:00,60.87682849,23.04477751,24.84618215,25.22054054,0.73,56.88786914,54.81199444,0.07,1.22,Eco Mode,4
1/3/2025 0:00,50.84214123,18.64227351,24.54109852,23.06136468,0.68,54.60692108,47.77595082,0.08,0.94,Maintain,2
1/3/2025 1:00,80.36561011,22.46656368,23.60379031,26.13682636,0.93,80.51843535,56.82190014,0.1,2.14,Boost All,3
1/3/2025 2:00,71.88769964,22.86717846,29.56969082,19.33226813,0.73,64.41022709,43.65856681,0.09,4.67,Reduce AHU,1
1/3/2025 3:00,70.0081023,21.62027396,29.66386611,22.19242479,0.83,78.2078992,41.52295174,0.12,1.81,Eco Mode,4
1/3/2025 4:00,46.17189858,18.40559205,26.24610411,23.34654956,0.61,44.41715114,51.57356446,0.06,0.65,Increase Chiller,0
1/3/2025 5:00,54.02985876,18.24296094,25.25492315,23.87389387,0.72,57.98402643,52.05407365,0.11,0.13,Maintain,2
1/3/2025 6:00,35.31128627,17.27278785,20.4596216,26.54411909,0.49,30.04764745,49.37812286,0.06,2.54,Increase Chiller,0
1/3/2025 7:00,58.50319905,20.46045431,23.52188354,21.50355214,0.74,62.88700954,46.53654217,0.09,2.5,Increase Chiller,0
1/3/2025 8:00,50.97578715,20.77925836,24.70431837,21.43008905,0.64,56.09019136,38.00177327,0.05,2.57,Increase Chiller,0
1/3/2025 9:00,51.24800352,19.64889654,26.00502675,25.86376444,0.73,59.51822909,50.5911713,0.09,1.86,Reduce AHU,1
1/3/2025 10:00,32.25493004,17.69526698,23.31143197,23.12526017,0.59,42.22429013,50.29380624,0.06,0.87,Increase Chiller,0
1/3/2025 11:00,80.0876455,22.6884877,30.61295689,26.81821037,0.83,70.90448542,53.1726912,0.12,2.82,Increase Chiller,0
1/3/2025 12:00,69.06651938,24.14902818,31.6805565,25.01384356,0.78,67.48024496,48.00681532,0.07,1.01,Eco Mode,4
1/3/2025 13:00,75.59306265,23.08738632,28.86681424,22.53831638,0.9,85.5179487,42.35001978,0.1,1.46,Maintain,2
1/3/2025 14:00,60.52259662,24.26016155,29.40067797,22.76604401,0.74,61.21019997,49.94176588,0.1,1.23,Maintain,2
1/3/2025 15:00,44.52551943,20.56024591,30.07710791,22.18519624,0.49,36.48614115,40.56806584,0.06,1.81,Maintain,2
1/3/2025 16:00,57.4575105,20.52165121,27.67564458,25.69046384,0.71,54.46146511,54.49864286,0.1,1.69,Increase Chiller,0
1/3/2025 17:00,51.75896532,20.42438221,27.28318452,25.22230927,0.66,51.21736003,51.04894428,0.08,1.22,Maintain,2
1/3/2025 18:00,93.39746228,24.09163262,28.98510828,19.57653231,0.89,85.6054836,40.37840768,0.08,4.42,Maintain,2
1/3/2025 19:00,59.52183543,22.42228529,28.57216095,18,0.72,68.3930111,34.79964439,0.1,6,Boost All,3
1/3/2025 20:00,74.34472038,23.30308627,27.76182285,24.23831776,0.87,79.79719548,45.94196253,0.1,0.24,Reduce AHU,1
1/3/2025 21:00,57.01445594,21.54567946,25.47065861,21.89070942,0.7,61.04500074,41.61467759,0.1,2.11,Boost All,3
1/3/2025 22:00,63.75642084,20.47669195,24.88161812,24.74848377,0.77,64.24311101,51.9025385,0.06,0.75,Reduce AHU,1
1/3/2025 23:00,92.21696942,23.62483169,27.24377837,23.85254198,1,95.18237778,46.90326394,0.14,0.15,Eco Mode,4
1/4/2025 0:00,100,26.01628475,26.29730377,25.36093671,1.06,99.43147798,53.24068572,0.11,1.36,Eco Mode,4
1/4/2025 1:00,52.17819043,19.12785025,23.24557465,30.4992443,0.68,46.96166018,60.25953772,0.08,6.5,Boost All,3
1/4/2025 2:00,55.66066993,22.26718806,29.80150914,21.15085601,0.6,46.5903493,45.26902185,0.08,2.85,Reduce AHU,1
1/4/2025 3:00,96.58773352,24.25383455,26.49809856,23.5202834,0.99,96.29912021,44.89891711,0.09,0.48,Reduce AHU,1
1/4/2025 4:00,77.13351157,23.63206729,27.32016911,24.06238571,0.9,82.87661147,48.25271297,0.08,0.06,Increase Chiller,0
1/4/2025 5:00,75.4321458,23.92686418,30.00229344,27.49523801,0.92,80.80496101,54.28273147,0.13,3.5,Reduce AHU,1
1/4/2025 6:00,33.02365364,20.09867946,24.6112395,22.7410073,0.42,27.00537992,40.78687383,0.04,1.26,Boost All,3
1/4/2025 7:00,62.51182253,22.10521984,24.81765176,22.35168627,0.71,60.18989097,46.38435787,0.08,1.65,Eco Mode,4
1/4/2025 8:00,54.98778532,21.05032729,23.21299133,25.37294568,0.63,49.68541394,47.12425185,0.06,1.37,Maintain,2
1/4/2025 9:00,51.93462866,19.2454486,22.00594203,26.03996614,0.62,45.90866347,49.80312976,0.09,2.04,Boost All,3
1/4/2025 10:00,51.38772383,21.27663868,26.9645842,26.50805547,0.65,46.25804153,55.27327471,0.08,2.51,Increase Chiller,0
1/4/2025 11:00,31.10260689,17.18661368,24.53192226,25.84212164,0.47,25.30331504,53.52694026,0.06,1.84,Maintain,2
1/4/2025 12:00,70.12102295,21.83156501,29.21007756,20.57678942,0.79,73.47297014,39.55425339,0.1,3.42,Eco Mode,4
1/4/2025 13:00,38.78123853,19.64049605,25.42254347,28.74111077,0.6,40.84328678,54.82092512,0.08,4.74,Maintain,2
1/4/2025 14:00,93.06727493,22.72558502,26.79573984,21.50488989,0.97,92.32023177,46.89682535,0.12,2.5,Eco Mode,4
1/4/2025 15:00,68.88072249,23.61410216,28.32280494,23.96967019,0.71,59.92682606,46.53532512,0.07,0.03,Increase Chiller,0
1/4/2025 16:00,45.76191943,18.77036222,18.77036222,26.39049333,0.63,43.83182903,55.54972599,0.06,2.39,Eco Mode,4
1/4/2025 17:00,61.47935931,21.67176194,25.96250518,25.57062757,0.72,56.74476333,54.08158084,0.06,1.57,Reduce AHU,1
1/4/2025 18:00,55.18718958,20.29115807,23.55641148,24.35087108,0.71,60.05566911,46.06520634,0.1,0.35,Increase Chiller,0
1/4/2025 19:00,53.71878872,20.17942791,27.24754063,23.77858514,0.63,52.14266716,43.32802559,0.07,0.22,Boost All,3
1/4/2025 20:00,46.00465494,17.72868367,25.74104816,23.77404065,0.61,45.51199102,48.86039094,0.05,0.23,Eco Mode,4
1/4/2025 21:00,100,27.44039963,35.07003497,19.26108191,0.99,100,37.38508061,0.13,4.74,Increase Chiller,0
1/4/2025 22:00,87.26591032,25.74650876,28.12642854,22.44313035,0.95,90.00799495,46.44709322,0.11,1.56,Increase Chiller,0
1/4/2025 23:00,100,26.3331455,33.27544757,18,0.95,97.38304846,34.31861865,0.09,6,Maintain,2
1/5/2025 0:00,47.66854534,18.46277065,25.84763178,22.54852729,0.55,40.77529582,45.674316,0.06,1.45,Eco Mode,4
1/5/2025 1:00,88.78234174,23.72161439,27.61212697,25.08892575,0.9,81.42084618,49.47114848,0.11,1.09,Increase Chiller,0
1/5/2025 2:00,66.80376588,22.52732203,27.77867959,23.99659114,0.74,60.96246996,50.64151213,0.09,0,Increase Chiller,0
1/5/2025 3:00,62.07036858,21.03803423,25.42732146,21.18885321,0.68,59.55652085,41.25915533,0.06,2.81,Increase Chiller,0
1/5/2025 4:00,61.83541273,21.59059285,26.97118787,27.50333265,0.84,71.82055048,53.12359137,0.11,3.5,Maintain,2
1/5/2025 5:00,46.52220481,20.17616268,25.97945629,21.52146649,0.58,45.33864369,42.67420798,0.05,2.48,Boost All,3
1/5/2025 6:00,63.34319808,21.49746231,27.97981732,19.72844855,0.75,72.09863138,34.6231337,0.11,4.27,Boost All,3
1/5/2025 7:00,83.31014413,23.14722383,27.98599419,27.11348696,1,92.45683551,51.59375209,0.13,3.11,Eco Mode,4
1/5/2025 8:00,42.78886823,18.75776603,22.37310726,20.76639028,0.58,45.5154905,43.24249644,0.05,3.23,Increase Chiller,0
1/5/2025 9:00,84.65663173,23.2843425,30.69659841,27.5010473,0.93,80.85537723,56.22669967,0.12,3.5,Eco Mode,4
1/5/2025 10:00,22.34844283,17.13725472,25.89567496,32.96111025,0.47,20,61.6564467,0.06,8.96,Reduce AHU,1
1/5/2025 11:00,52.53604907,19.79163808,28.27621574,20.05909036,0.68,57.01743129,44.87525158,0.07,3.94,Boost All,3
1/5/2025 12:00,62.82285158,20.27540004,22.88090228,24.90634959,0.68,53.37754732,51.07645574,0.07,0.91,Increase Chiller,0
1/5/2025 13:00,56.7087444,20.23801562,25.70251015,21.97092176,0.67,57.38023623,43.00206973,0.07,2.03,Eco Mode,4
1/5/2025 14:00,77.12554785,23.26534268,27.33545231,24.74847879,0.82,73.89511923,45.27158287,0.09,0.75,Increase Chiller,0
1/5/2025 15:00,69.7805988,23.27940462,28.41174993,18.55588147,0.69,63.33244101,37.58299441,0.09,5.44,Increase Chiller,0
1/5/2025 16:00,100,26.13399476,30.43088737,27.8122944,1.07,98.69112888,55.53241293,0.12,3.81,Eco Mode,4
1/5/2025 17:00,72.62018147,21.62201587,27.98872462,25.96688269,0.84,75.11537511,48.48563401,0.1,1.97,Increase Chiller,0
1/5/2025 18:00,68.48910954,20.08174536,20.08174536,25.68331431,0.84,71.06882102,54.90574391,0.07,1.68,Eco Mode,4
1/5/2025 19:00,57.3039229,22.93206172,27.81877347,26.15752008,0.77,63.12385659,52.21682597,0.09,2.16,Boost All,3
1/5/2025 20:00,48.0522204,19.38400194,24.77320964,24.09405519,0.67,51.1989945,51.27675772,0.08,0.09,Eco Mode,4
1/5/2025 21:00,83.31017538,23.33164842,26.04774274,25.43463012,0.98,88.83206159,53.12285051,0.13,1.43,Eco Mode,4
1/5/2025 22:00,82.86544272,21.691369,26.59981489,21.92497342,0.93,89.85454202,42.30844824,0.08,2.08,Boost All,3
1/5/2025 23:00,40.38273845,18.61916297,22.94323496,27.33895668,0.68,48.58460541,59.25734648,0.08,3.34,Increase Chiller,0
1/6/2025 0:00,83.01720367,22.38866885,28.94918968,24.68466046,0.9,80.17442434,52.4772489,0.08,0.68,Boost All,3
1/6/2025 1:00,72.23287555,21.58117863,24.78681784,23.76751344,0.75,62.36428815,50.20669808,0.07,0.23,Boost All,3
1/6/2025 2:00,67.82519315,21.37956152,24.98680765,28.29155914,0.86,73.37677166,54.53215121,0.1,4.29,Reduce AHU,1
1/6/2025 3:00,33.43024725,17.85533048,24.99212877,25.3912373,0.51,33.79761343,48.39204654,0.05,1.39,Increase Chiller,0
1/6/2025 4:00,41.83222957,18.52663257,19.87816718,21.40690233,0.52,38.81921557,41.56121981,0.06,2.59,Increase Chiller,0
1/6/2025 5:00,39.90167121,18.64835473,22.38681234,27.07952006,0.67,48.33124966,56.97687522,0.06,3.08,Boost All,3
1/6/2025 6:00,81.33735306,23.5460055,29.46750147,22.42729888,0.84,78.63469433,43.07458917,0.08,1.57,Maintain,2
1/6/2025 7:00,59.52276738,21.10306841,24.56041235,23.62299106,0.63,51.82440191,43.68636585,0.06,0.38,Boost All,3
1/6/2025 8:00,39.91377627,18.6120167,24.34413356,21.89858117,0.6,45.23483407,48.60872472,0.08,2.1,Reduce AHU,1
1/6/2025 9:00,100,25.42953943,29.40117587,19.93662673,1.01,100,42.78266939,0.15,4.06,Eco Mode,4
1/6/2025 10:00,54.94290771,20.12179172,27.30123345,22.12283114,0.56,45.50729675,39.77478512,0.08,1.88,Reduce AHU,1
1/6/2025 11:00,99.59621408,25.56072381,28.63948039,24.0522484,1.06,100,51.91083651,0.11,0.05,Maintain,2
1/6/2025 12:00,41.53293759,17.65456912,25.59531819,25.50804869,0.61,46.79123845,46.20143198,0.07,1.51,Maintain,2
1/6/2025 13:00,65.60394404,21.91142423,24.68311115,26.91213151,0.82,66.02585357,58.62368721,0.07,2.91,Increase Chiller,0
1/6/2025 14:00,73.77168558,22.89061854,28.6619893,24.64140975,0.76,67.59043782,44.6834644,0.09,0.64,Eco Mode,4
1/6/2025 15:00,47.67647,21.18982023,27.54707079,19.82078864,0.57,46.30428707,40.0448802,0.07,4.18,Reduce AHU,1
1/6/2025 16:00,20.5358694,17.73247042,20.11274887,26.12494381,0.45,20,57.20294329,0.04,2.12,Boost All,3
1/6/2025 17:00,35.34642744,18.30291976,23.80190594,22.80660448,0.48,32.19766855,44.83811488,0.05,1.19,Reduce AHU,1
1/6/2025 18:00,90.35307695,24.92366412,30.67773633,28.31468527,1.05,95.51923762,57.23767654,0.13,4.31,Boost All,3
1/6/2025 19:00,83.80997314,23.57982257,29.99715052,22.99004847,0.85,77.75823177,44.71610635,0.1,1.01,Increase Chiller,0
1/6/2025 20:00,76.03181704,21.23699341,25.87285373,21.20770685,0.81,72.95951447,46.08293282,0.08,2.79,Reduce AHU,1
1/6/2025 21:00,14.79721917,16.54168925,19.12053875,22.21466893,0.39,20,45.83588887,0.03,1.79,Maintain,2
1/6/2025 22:00,55.14639702,21.99081178,26.74228729,28.24924992,0.78,64.20850541,53.52594097,0.09,4.25,Eco Mode,4
1/6/2025 23:00,49.33002541,19.32073943,20.87877123,19.72819259,0.61,55.00232111,34.81079113,0.08,4.27,Increase Chiller,0
1/7/2025 0:00,81.57015285,22.5808569,27.1896573,23.66607991,0.94,86.71564688,49.91173744,0.11,0.33,Maintain,2
1/7/2025 1:00,77.25307953,23.64640203,28.39090983,23.89114823,0.86,74.4118776,52.39385003,0.12,0.11,Maintain,2
1/7/2025 2:00,83.22654954,23.95024232,29.53312959,24.14798675,0.89,82.13802306,47.45837742,0.09,0.15,Increase Chiller,0
1/7/2025 3:00,81.8518035,24.79645814,28.96270706,24.00295568,0.91,83.25446415,48.43169733,0.1,0,Boost All,3
1/7/2025 4:00,71.6000772,22.31001386,29.04289593,24.07428839,0.74,65.13149587,43.78821627,0.07,0.07,Boost All,3
1/7/2025 5:00,76.50892506,22.05962131,25.79957928,25.6363745,0.81,72.02648232,46.54185734,0.11,1.64,Eco Mode,4
1/7/2025 6:00,40.89672353,20.04394961,25.33251823,30.2774479,0.62,39.33873738,61.78872274,0.08,6.28,Maintain,2
1/7/2025 7:00,94.03089235,23.36823153,28.21859734,28.76991559,1.03,92.8665472,57.46543172,0.14,4.77,Reduce AHU,1
1/7/2025 8:00,47.99886287,17.184816,23.50852091,22.96318511,0.54,39.2177529,44.84543681,0.07,1.04,Reduce AHU,1
1/7/2025 9:00,92.13393626,23.78973454,32.78551553,25.25626673,1.03,94.192609,55.21087519,0.1,1.26,Maintain,2
1/7/2025 10:00,64.007451,22.42014566,29.27405396,25.21194721,0.77,64.2848163,50.72640263,0.1,1.21,Boost All,3
1/7/2025 11:00,86.95974147,22.75169472,27.1200221,30.09584581,0.94,81.69957395,56.40121146,0.12,6.1,Eco Mode,4
1/7/2025 12:00,84.18320251,24.45534055,27.92550734,25.5908988,0.89,76.70534742,55.18929377,0.08,1.59,Increase Chiller,0
1/7/2025 13:00,74.47053048,22.31272115,22.62498219,24.15419007,0.87,76.91444354,50.81626519,0.09,0.15,Reduce AHU,1
1/7/2025 14:00,78.78169015,24.11332182,27.34832426,22.56526506,0.83,75.82258618,45.39092355,0.07,1.43,Increase Chiller,0
1/7/2025 15:00,65.69482937,21.62840821,28.78873348,27.25929892,0.82,70.25915926,50.88718867,0.07,3.26,Increase Chiller,0
1/7/2025 16:00,66.91720224,20.90836071,27.1486008,24.61387052,0.76,63.50385848,49.42381703,0.07,0.61,Increase Chiller,0
1/7/2025 17:00,76.52313071,22.48725788,26.65062815,24.81427993,0.85,77.97547198,45.62611771,0.09,0.81,Eco Mode,4
1/7/2025 18:00,82.40119575,22.92267624,28.74865693,24.13683256,1,92.01347396,52.96341846,0.1,0.14,Eco Mode,4
1/7/2025 19:00,63.46632518,20.18775315,26.70051553,19.88284265,0.68,61.11121387,37.39303412,0.1,4.12,Increase Chiller,0
1/7/2025 20:00,72.19878204,21.6544166,31.40399801,24.87214521,0.89,81.18886118,47.78918439,0.12,0.87,Maintain,2
1/7/2025 21:00,88.05407053,23.61556883,24.91903395,22.59107903,0.96,89.80482026,48.13416288,0.11,1.41,Boost All,3
1/7/2025 22:00,97.52589201,23.90269567,27.42347635,23.27206926,1.02,100,44.0451044,0.11,0.73,Increase Chiller,0
1/7/2025 23:00,90.1865027,22.94111905,29.59484473,19.26006233,0.99,99.86728307,38.89082148,0.08,4.74,Increase Chiller,0
1/8/2025 0:00,51.42296949,19.21870486,25.15703948,26.71051347,0.72,58.82086489,49.22832551,0.1,2.71,Boost All,3
1/8/2025 1:00,58.23073619,21.22269336,30.07560232,20.93783287,0.7,64.5929394,36.96508784,0.06,3.06,Eco Mode,4
1/8/2025 2:00,36.8183057,18.05174007,25.4309991,19.09603847,0.57,45.01091072,42.11674155,0.06,4.9,Eco Mode,4
1/8/2025 3:00,55.56591199,20.43162785,20.50148989,22.09702724,0.69,60.69350968,41.38855075,0.06,1.9,Boost All,3
1/8/2025 4:00,37.58923967,17.85157492,18.05489704,25.47305581,0.53,32.91705256,53.24463563,0.05,1.47,Eco Mode,4
1/8/2025 5:00,95.45768764,24.52036525,32.00353482,21.56664364,1.02,98.02200516,47.63470047,0.09,2.43,Reduce AHU,1
1/8/2025 6:00,39.15451001,20.08045568,23.57293698,26.80504288,0.62,44.06383692,54.02408439,0.07,2.81,Eco Mode,4
1/8/2025 7:00,79.59508799,22.15757933,25.69518537,25.32668913,0.93,85.65589652,48.18503447,0.1,1.33,Reduce AHU,1
1/8/2025 8:00,75.67458037,22.03036631,26.263196,23.52589347,0.78,66.51827047,48.67796425,0.09,0.47,Reduce AHU,1
1/8/2025 9:00,60.14016939,19.48439069,24.68973163,22.3002466,0.65,53.68088694,44.61316497,0.07,1.7,Boost All,3
1/8/2025 10:00,77.64871345,22.02791439,27.64774296,27.6335855,0.85,74.27757263,50.42035753,0.07,3.63,Eco Mode,4
1/8/2025 11:00,17.89482688,16.69388035,20.99865851,22.37049757,0.4,21.72953783,44.3773229,0.03,1.63,Reduce AHU,1
1/8/2025 12:00,71.02604018,21.20706569,29.04241861,28.61858151,0.86,68.23079902,61.97206244,0.09,4.62,Maintain,2
1/8/2025 13:00,70.23260655,19.89288516,25.66756562,18,0.73,70.87810258,31.69533628,0.1,6,Increase Chiller,0
1/8/2025 14:00,10,15.99045574,21.94902893,19.65317325,0.37,20,41.37299531,0.05,4.35,Maintain,2
1/8/2025 15:00,100,25.95183724,34.1982345,25.1145184,1.05,100,50.95601501,0.14,1.11,Maintain,2
1/8/2025 16:00,88.10890939,23.64300556,29.72257711,26.25978743,0.9,80.89243172,49.87582371,0.08,2.26,Maintain,2
1/8/2025 17:00,62.79059296,20.89961788,27.05333951,24.21594137,0.73,63.94403608,43.55835152,0.1,0.22,Maintain,2
1/8/2025 18:00,65.00083378,22.04990685,24.59320564,19.21562609,0.64,55.62277839,39.83149695,0.07,4.78,Increase Chiller,0
1/8/2025 19:00,47.01443505,19.70629237,23.51469454,24.62761147,0.63,46.70952042,51.1975045,0.07,0.63,Increase Chiller,0
1/8/2025 20:00,38.61621923,19.51398625,22.09700221,24.96700284,0.52,32.96188755,50.52407568,0.05,0.97,Reduce AHU,1
1/8/2025 21:00,51.07314212,18.65607842,24.56416057,24.28715386,0.62,47.89915995,48.16748242,0.06,0.29,Increase Chiller,0
1/8/2025 22:00,48.99040711,20.8707354,25.48206769,24.58397019,0.69,53.86225922,52.25166078,0.08,0.58,Eco Mode,4
1/8/2025 23:00,83.06648909,21.54036126,24.83830744,23.92213897,0.95,87.55834378,49.68762136,0.09,0.08,Boost All,3
1/9/2025 0:00,70.54789696,20.91816176,26.49083347,28.64331499,0.92,77.87086893,59.34697765,0.1,4.64,Eco Mode,4
1/9/2025 1:00,43.9216487,17.6022405,22.03047416,24.44154463,0.54,39.53965737,45.184617,0.05,0.44,Reduce AHU,1
1/9/2025 2:00,93.70305696,23.0533898,27.84011771,20.34337164,0.9,87.16530828,40.87257891,0.12,3.66,Reduce AHU,1
1/9/2025 3:00,57.03312306,19.1240281,24.82261258,28.32274757,0.66,47.65108955,56.70169391,0.09,4.32,Reduce AHU,1
1/9/2025 4:00,30.24434904,17.61013356,21.00699044,24.74980579,0.56,38.47536322,50.4640658,0.05,0.75,Increase Chiller,0
1/9/2025 5:00,76.9516267,22.80078211,28.68650672,24.77083173,0.91,82.57064785,49.48701291,0.08,0.77,Maintain,2
1/9/2025 6:00,52.6847606,20.61113946,28.15297498,25.61881191,0.62,46.07532633,50.27109612,0.08,1.62,Maintain,2
1/9/2025 7:00,50.14464391,19.75086304,29.24739019,25.12237601,0.75,59.71409906,53.97366423,0.08,1.12,Eco Mode,4
1/9/2025 8:00,82.51995346,24.10637636,31.6704267,18,0.82,78.65828798,38.46767857,0.07,6,Boost All,3
1/9/2025 9:00,77.13324928,22.99656568,28.07028597,23.88810456,0.91,84.89091259,46.56855755,0.12,0.11,Eco Mode,4
1/9/2025 10:00,49.64321123,21.42824541,22.43418035,29.03235853,0.64,44.78918573,55.39912787,0.09,5.03,Reduce AHU,1
1/9/2025 11:00,96.02590252,22.29426451,26.9549307,27.08135984,1.08,100,56.2483227,0.1,3.08,Reduce AHU,1
1/9/2025 12:00,51.21303853,20.01333272,25.62541021,23.09877453,0.64,50.04525289,48.52628762,0.06,0.9,Increase Chiller,0
